agent,blocked_egress_line_count,proxy_access_line_count,proxy_denied_count,reason,repo_slug,run_id,status,step,variant
codex,0,196,0,,mitre_HTTP-Proxy-Servlet,20260508T095255Z__mitre_HTTP-Proxy-Servlet__c799c5e1,passed,andvari-v2,v2
codex,0,110,0,,mitre_HTTP-Proxy-Servlet,20260508T095255Z__mitre_HTTP-Proxy-Servlet__c799c5e1,passed,andvari-v3,v3
codex,0,92,0,,stealthcopter_AndroidNetworkTools,20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,passed,andvari,generated
codex,0,156,1,,stealthcopter_AndroidNetworkTools,20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,passed,andvari-v2,v2
codex,7,134,0,,stealthcopter_AndroidNetworkTools,20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,passed,andvari-v3,v3
claude,0,68,0,,19MisterX98_SeedcrackerX,20260510T103653Z__19MisterX98_SeedcrackerX__8e18d20d,passed,andvari,generated
claude,0,70,0,,19MisterX98_SeedcrackerX,20260510T103653Z__19MisterX98_SeedcrackerX__8e18d20d,passed,andvari-v2,v2
claude,0,76,0,,19MisterX98_SeedcrackerX,20260510T103653Z__19MisterX98_SeedcrackerX__8e18d20d,passed,andvari-v3,v3
claude,0,44,0,,airbnb_native-navigation,20260510T154735Z__airbnb_native-navigation__9cf50bf9,passed,andvari,generated
claude,0,54,0,,airbnb_native-navigation,20260510T154735Z__airbnb_native-navigation__9cf50bf9,passed,andvari-v2,v2
claude,0,60,0,,airbnb_native-navigation,20260510T154735Z__airbnb_native-navigation__9cf50bf9,passed,andvari-v3,v3
claude,0,48,0,,amitshekhariitbhu_Android-Debug-Database,20260510T154742Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,passed,andvari,generated
claude,0,48,0,,amitshekhariitbhu_Android-Debug-Database,20260510T154742Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,passed,andvari-v2,v2
claude,0,46,0,,amitshekhariitbhu_Android-Debug-Database,20260510T154742Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,passed,andvari-v3,v3
claude,0,62,0,,amitshekhariitbhu_PRDownloader,20260510T154753Z__amitshekhariitbhu_PRDownloader__611b12c8,passed,andvari,generated
claude,0,70,0,,amitshekhariitbhu_PRDownloader,20260510T154753Z__amitshekhariitbhu_PRDownloader__611b12c8,passed,andvari-v2,v2
claude,0,50,0,,amitshekhariitbhu_PRDownloader,20260510T154753Z__amitshekhariitbhu_PRDownloader__611b12c8,passed,andvari-v3,v3
claude,0,68,0,,awaitility_awaitility,20260510T154759Z__awaitility_awaitility__4fc23ccb,passed,andvari,generated
